'1.41904849463892', '-0.846739203079107', '2.5449602982422', '-0.534572175706497', '-0.569299373809626', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '-0.0207114853092163', '-0.884487684156902', '-0.342915520393052', '-0.1037746770983', '-0.710983574515927', '0.469168415650682', '-0.332154993142383', '-1.20978757871708', '0.56055501707743', '-0.16396416133493', '-0.822455608859965', '0.431727301268337', '-0.565640750358116', '1.31317725965596', '-0.789570131901424', '-0.087190247500092', '-0.435140133254683', '-0.494528409332421', '-1.24744288198102', '-1.55273412180103', '-1.05845856996748', '0.323333399843064', '-1.28366540317208', '0.140007709341097', '-0.385632065933707', '0.461863164841813', '-0.136880243976086', '-0.457116819188899', '-0.615133845349706', '0.156895647424266', '-0.413227722063017', '-0.264213502325794', '1.16805506971524', '1.01886598499269', '-0.696259652586882', '-0.250467687203989', '-0.404998754839039', '1.0422659488292', '0.376904261327916', '-1.0764720058052', '-0.90300752304061', '-0.867479357038169', '-1.07616158914921', '-0.419467873396153', '-1.01194208825251', '0.0457661861495062', '0.46276446810283', '0.692273464017222', '-0.52289886538888', '-0.453539851198831', '-2.19115230283873', '-0.0735376448664763', '-0.851376664405404'
'-0.695044160639471', '-0.93763914693907', '-0.295670585354435', '-0.364903615590957', '-0.253262459071203', '-1.51209321897304', '-1.56686940026462', '-0.695044160639471', '-0.0207114853092163', '-1.01158926081724', '-0.700121504340671', '-0.705443021574362', '0.708899597257941', '0.420422373281078', '1.10333595534169', '-0.909193660247554', '0.449086397099939', '0.533281495603898', '-0.166288838949829', '0.502018668445643', '0.66779921308364', '0.54221103836848', '0.822022755804545', '-0.55036285335152', '-0.507498287531657', '-0.356388458256145', '-1.19739630015702', '-0.994297778041474', '-0.186809463767914', '-0.0713712521392716', '0.24983084702297', '-0.68223479819931', '-0.0410590814667848', '-0.267920623761052', '0.0127044537822116', '-0.258488677517533', '-0.653878254936011', '0.468580578355999', '-0.129390968823496', '-0.0085251480240189', '0.157071727090449', '0.701962632182861', '-0.485359425869694', '-0.543432466972202', '-0.575383503139518', '-0.194548520717558', '-0.672990302169221', '0.534443180332498', '0.0815728467603827', '0.645009780136366', '1.96844466215404', '0.144083322933028', '2.40107216403057', '0.486813260593593', '0.46276446810283', '-0.259439584443366', '0.511562304621642', '-1.16635545869206', '-1.093696947043', '-1.08728406251078', '0.187581819405938'
'1.41904849463892', '0.425860010960375', '0.0594082750951443', '-0.110400775417646', '0.852866742513281', '0.652275506223666', '1.72468358446393', '-0.695044160639471', '0.0464857781384629', '-0.121878224194849', '-1.04109085265431', '0.0329681284644418', '-0.491239750312828', '-0.467838843231712', '-0.384165534754125', '1.61579525489647', '-0.322619433513463', '2.04398041897136', '0.0524334176868829', '-0.494840720614336', '3.41931913153063', '-1.15391464846397', '0.660863467033948', '-0.804360733979722', '-0.688393673224094', '-0.563598384870559', '0.110964338956152', '2.95371730342147', '-0.664810586522515', '0.454901617170509', '-0.243078661968295', '-0.240168933930274', '-0.812808163115303', '-0.450366570911767', '-0.705302095457617', '-0.258488677517533', '-0.421411797418176', '-0.713744259645042', '-0.533137366479713', '-0.129132862317309', '-0.685414391763541', '0.0681559265632092', '-0.801709765945477', '-0.512043383425607', '-0.316651107572124', '-0.0239534214697293', '0.200792915192912', '-0.0193089149023352', '-0.666329549530756', '-0.65140948029895', '-0.180689162295314', '-0.465660594406741', '-0.396984565318623', '-1.05685149996071', '0.346275481304532', '0.930201726132369', '0.511562304621642', '-0.99753070954893', '1.16980472428568', '-0.303934557967454', '-0.456572440557094'
'-0.695044160639471', '1.42575939341997', '1.75410283633177', '-0.619406455764267', '0.299802141721039', '0.652275506223666', '0.901795338281795', '1.41904849463892', '-1.62784603609955', '1.65754384904994', '-0.894961131948463', '-0.0217289937606549', '-1.15047122292212', '1.31951604365378', '-0.633816134490485', '1.64585464674342', '-0.580712161307501', '2.04398041897136', '0.271155674323595', '-0.482060472036644', '0.145959228550589', '-0.675915591265733', '-0.708990487516126', '-0.879065992988016', '0.0351878695456521', '-0.471505084153042', '-0.110670523407282', '-1.38390452950163', '-0.458614023765629', '0.191765182515619', '-0.297846385189546', '-0.859061143906924', '0.107626521419627', '0.0969712705403802', '1.13458968696944', '-0.854373102531634', '-0.886344712453846', '-0.424916223648303', '1.40514891099017', '-0.423415685192937', '0.00542422569673116', '0.0681559265632092', '0.305516424319763', '-0.00981804668009923', '0.00518675032878156', '-1.00487524214475', '-0.354635176463637', '1.03785417600053', '-0.0888352941667122', '-0.785723187461167', '-0.359783647666094', '-0.608858029539566', '0.294842647982001', '0.597075029204615', '0.113297507707934', '-1.02081002321184', '-0.781514157891511', '-0.491056462119527', '-0.81933310809407', '-0.303934557967454', '1.22654030321728'
'-0.695044160639471', '-0.119539652199403', '-0.360230378163449', '-0.237652195504301', '-1.12236397460187', '0.652275506223666', '-1.56686940026462', '-0.695044160639471', '1.24483697628875', '-1.01158926081724', '-0.0181828077133985', '-0.978928632699845', '-0.35601278157246', '-0.294519581473119', '3.76627568586286', '-0.578540349931075', '0.774917747803375', '-0.977417427763563', '-0.385011095586541', '-0.731275319301639', '0.00363923276884814', '1.85285361455719', '1.06376168896044', '0.854096016004422', '1.24718695368498', '0.817801125892199', '0.589981622128734', '0.616076794660516', '-0.0743386113550667', '0.718038051825399', '-0.516917278074553', '-0.253430909858345', '-0.744365584008859', '-0.632812518062484', '4.87420713092688', '1.13190831418204', '0.430965213480553', '2.11012121459646', '-0.33733554205245', '-0.0374709994544086', '1.49662465606829', '-0.248747426246617', '-0.801709765945477', '0.565648485007462', '0.81293666819772', '2.19378286875205', '0.119510755438295', '0.349859148587554', '1.03775185974019', '-0.0849560196582935', '0.849104128586669', '0.887786131203503', '0.294842647982001', '2.0304780211479', '0.113297507707934', '1.40605825036266', '-0.781514157891511', '1.74118188766191', '-0.133423510721741', '0.0647005029941104', '-0.539689119262002'
'1.41904849463892', '0.516759954820338', '-1.2479275292874', '-0.619406455764267', '-1.04335474591726', '0.652275506223666', '0.078907092099657', '-0.695044160639471', '0.175280533079848', '-0.376081377515533', '0.631282617645909', '-0.596048777124169', '0.269411948851744', '0.220021976872704', '-0.0721022850836748', '-0.548480958084122', '0.320468758664372', '-0.686898404039051', '-1.76296131239783', '0.495628544156797', '-0.470760753170289', '-0.675915591265733', '-0.547831198745529', '-0.580244956954837', '-0.561766903239388', '-0.839878287023111', '-0.947163391037015', '-0.422874542566574', '-0.355515742387185', '-0.729212338776497', '0.523669463129228', '-0.629186894487025', '0.00142251935790431', '0.644309111992528', '0.835420291452848', '-0.834510288364497', '-0.498900616590788', '1.50753034812844', '-0.12331959442265', '-0.515077548055838', '0.0643982540165104', '0.701962632182861', '-0.854434822624774', '-0.470191272030148', '-0.417619847305741', '-0.919577692520831', '-1.14036272075827', '-1.54632226842869', '0.223579630866295', '0.201190573861213', '-0.673198997064958', '0.365808383783853', '0.802182604402459', '0.376551491982571', '-0.46914742628356', '-0.259439584443366', '-0.52289886538888', '-0.322231712976393', '-0.202014470458974', '0.89412939015763', '-0.622805797966909'
'-0.695044160639471', '1.33485944956', '-1.85317558687191', '-0.407320755619842', '-0.569299373809626', '0.652275506223666', '0.078907092099657', '1.41904849463892', '-0.911075225990968', '1.91174700237063', '0.209130091162359', '1.5918361118797', '0.784964767174399', '-0.657406785780173', '-0.737837217713968', '0.323241405477504', '-0.687893526670473', '-0.628794599294149', '-0.822455608859965', '0.163342081136804', '-0.99260073770334', '-0.0745619386615012', '2.59477493228111', '-0.146954454706728', '-0.905468136055018', '-0.402435108614904', '-1.00435948455016', '-1.11117980347952', '0.591113932087614', '0.849606269152844', '2.9334492848643', '-0.735282701911594', '0.329474881281892', '-0.267920623761052', '0.311873849298807', '-1.07286405837014', '1.20585340520667', '-0.861275126952729', '-0.751706844910147', '3.12727542360153', '-0.778087864837479', '0.0681559265632092', '1.30729250122641', '-0.815471191042685', '-0.613246780539625', '1.25550982288899', '-0.530746522598641', '0.165275116842609', '-1.15861973443125', '-0.289346443600798', '-0.180689162295314', '-0.668908566853331', '0.0949814530284875', '0.0457661861495062', '0.229786494506233', '-0.0215113223282189', '1.80463876713479', '-0.322231712976393', '-0.750742148356837', '0.387256181335479', '-0.602026628290682'
'-0.695044160639471', '-0.846739203079107', '-0.602329601197253', '1.54386768570887', '1.87998671541316', '-1.51209321897304', '0.078907092099657', '-0.695044160639471', '-0.888676138175075', '0.132324929125836', '-0.586465054902792', '-0.896882949362201', '-1.0321476252743', '-1.10153739403657', '-0.91467305919389', '-0.338065215155454', '-0.860241162174133', '-0.396379380314539', '-0.385011095586541', '-0.718495070723947', '-0.518200751764203', '-0.830108835523228', '1.54723955527223', '-0.625068112359814', '0.288441409515063', '-0.425458433794283', '-0.303707339014143', '-0.825468185742072', '-1.43336141134364', '-1.25548520808628', '-0.516917278074553', '-0.761806653767736', '-1.24470443816631', '-1.39908549609549', '0.7606279425737', '-0.258488677517533', '-0.537645026177094', '-1.21867384775445', '-0.466352248070414', '2.93430308073226', '-0.811787309591639', '-0.565650779056443', '-0.748984709266179', '-0.82593421889155', '-0.367135477438932', '-0.279846070341473', '-0.334314636524983', '0.802929044688781', '-0.978744474563763', '-0.394461518771229', '-0.315010026323399', '0.217991676549969', '-1.16568146898598', '-0.174757351072537', '0.928720415296026', '-2.68630785801786', '-1.29874474289677', '-1.12883884777137', '0.0723493684899579', '2.50690778186447', '-0.165664065089918'
'-0.695044160639471', '-0.846739203079107', '-0.0309754348374761', '-0.152817915446531', '-0.648308602494233', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '1.32323378364437', '-0.884487684156902', '-0.26985066004013', '-0.486654532673976', '-0.499691435859101', '0.00878912660441918', '-0.97708570912798', '-0.127649472226785', '-1.08918055858944', '-0.745002208783953', '-1.04117786549668', '0.220853199736418', '-1.18236073207899', '0.835178202457721', '-0.306092265589634', '-1.19282808082285', '-0.199976131854515', '-0.86290161220249', '-0.646883900093008', '-0.163136708259802', '-1.17092942238033', '-0.992348773431388', '-0.735988170959559', '-0.991680903187635', '-0.966213943871125', '-0.267920623761052', '-0.727739800121361', '-1.50984597004715', '-0.731367074108623', '-0.919456314059986', '-0.293318077646321', '-0.495780313768911', '0.157071727090449', '1.01886598499269', '0.35824148099906', '-0.62713668976312', '-1.22536976517468', '-0.748982593273002', '-0.0498270773838234', '-0.119991114035941', '-0.278177672974595', '-0.283506717202441', '-0.180689162295314', '-0.585761669034272', '-0.243245184585151', '0.156027954760528', '-0.585636413081859', '-0.259439584443366', '-0.26428357288625', '-0.99753070954893', '-0.544969269145138', '0.0877401943042081', '-0.955272512786539'
'-0.695044160639471', '-1.66483869781877', '2.42068269708484', '-1.12841213611089', '-0.648308602494233', '0.652275506223666', '1.72468358446393', '1.41904849463892', '-1.53824968483598', '1.14913754240857', '0.541981121659004', '-1.06097431603749', '-0.415174580396371', '-0.023708234975317', '1.49861607159092', '0.112825662548836', '1.06645106159066', '-0.803106013528856', '0.0524334176868829', '0.0227593467821914', '-0.23356076020072', '-0.244174507344746', '-0.306092265589634', '0.0921023741198154', '-0.652214596085607', '-0.241271832359249', '-0.875668274145585', '1.65502813188761', '-0.149319179630298', '-0.597644121449052', '0.0307599541379631', '0.480398424828255', '-0.978014388544649', '-0.632812518062484', '0.0874968026613604', '-0.973549987534454', '-0.615133845349706', '0.717928523101386', '-0.105105471220114', '-0.360699673760426', '-0.483217723238583', '0.701962632182861', '1.09639227450922', '0.502870317914274', '-1.25061195010808', '-0.578387494025173', '-0.578161115788834', '-1.94905106496312', '2.17380613258749', '1.96478794616511', '-0.225462783638009', '-0.211600628848504', '-0.504602131832053', '-0.395280888294581', '0.812231428497728', '-0.259439584443366', '0.511562304621642', '-0.322231712976393', '0.621077046387821', '-1.11032375382088', '-0.560468288938228'
'-0.695044160639471', '1.33485944956', '1.60884330251149', '-0.746657875850923', '-1.12236397460187', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '-0.177505100020468', '-0.884487684156902', '-0.472808605464913', '-0.349911727111234', '0.277863634398017', '-0.689904147359909', '-0.488186617977608', '-0.127649472226785', '-0.569565299309752', '1.28863095728763', '0.489877930960307', '0.725673018555254', '0.525479217301899', '-0.922624782077725', '-0.306092265589634', '-0.879065992988016', '-0.380871517546952', '0.587567874098406', '1.4979696066499', '0.096601126046971', '1.05974248380781', '-0.466075904121607', '0.414134016686724', '-1.22155515260753', '1.20506787605743', '0.279417217691096', '1.65813612912349', '-0.457116819188899', '1.01213135727514', '0.406243592169652', '-0.986972602942905', '0.0397179376932972', '-0.00300063549180874', '0.0681559265632092', '0.621866764395546', '0.827224181229081', '0.699346835997401', '2.19378286875205', '0.600430200653113', '0.618345012943837', '-0.56219124118642', '0.74428512890844', '0.31182067247433', '-0.0453068332103855', '0.233346895688612', '-0.615804425516624', '1.62765433608582', '-1.11598132805789', '0.252947012119011', '0.615683560041019', '2.47303295929311', '1.58532012946056', '0.603165212930475'
'1.41904849463892', '-1.119439034659', '0.417715125185174', '1.33178198556445', '0.536829827774857', '0.652275506223666', '0.901795338281795', '-0.695044160639471', '1.4856271703096', '0.132324929125836', '-0.0750110324323379', '-0.459305971561428', '-0.761693687793565', '0.285016700032177', '0.33357993948791', '0.233063229936646', '0.466235415558014', '-0.338275575569637', '0.92732244423373', '3.36479434984866', '0.478039218707985', '-1.03056005305797', '-0.547831198745529', '0.794331808797786', '0.487426333776743', '0.587567874098406', '1.74105300408076', '1.13555246327406', '-0.496104307903244', '1.37587913846262', '0.468901739907976', '0.54228764582592', '-0.380911888064297', '0.461863164841813', '-0.413611934828936', '-0.675607775027403', '0.895898128516223', '-0.0716733019256718', '-0.953580043738255', '-0.481307388053717', '-0.179922720451147', '-0.660721784899391', '-0.538084482548991', '-1.13354723764817', '0.844489399364476', '0.573129425897672', '1.44711936476371', '-0.287794779258618', '0.469724723316543', '-0.639730027502235', '0.0431789444181605', '0.809258505485503', '-0.120253679998373', '-1.16711326857173', '-2.33297121505634', '1.16812998824752', '0.511562304621642', '0.803266614644502', '0.00375840875272499', '0.110779885614306', '1.01874860645501'
'1.41904849463892', '1.51665933727993', '0.22403574675813', '-0.0679836353887611', '-0.569299373809626', '0.652275506223666', '0.901795338281795', '-0.695044160639471', '-0.451893925765159', '0.38652808244652', '-0.562110101451818', '2.68577855638163', '1.27516252885823', '0.420422373281078', '-0.654620351135182', '2.21698309183552', '-0.262597868910199', '5.35589728943079', '0.708600187597018', '-0.309527116237802', '1.52171918777409', '0.0642119811702445', '0.338544889492754', '0.0472792187148385', '0.704500796607667', '0.587567874098406', '0.361197248076157', '0.616076794660516', '1.5096258934592', '-0.0713712521392716', '-0.188310938747043', '1.11255261073298', '1.32307232279268', '0.644309111992528', '-0.0620878950969371', '0.138767605825201', '0.121009936790106', '-0.0716733019256718', '-0.977865541341637', '-0.249740576610599', '-0.171497859262607', '1.01886598499269', '1.25456744454711', '0.722593902740434', '0.661483558597294', '-0.493089944401259', '-0.0836946439482471', '1.32312040687908', '-0.0320325805243473', '0.609971421746223', '-0.762746239750348', '-0.170027179938975', '1.43251406540969', '0.597075029204615', '0.113297507707934', '-0.997017197000321', '2.32186935214006', '0.615683560041019', '-1.43665174572917', '0.0647005029941104', '0.395373516168207'
'-0.695044160639471', '-1.119439034659', '2.3351409716129', '0.228936344813435', '0.69484828514407', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '0.852852939510616', '-0.884487684156902', '1.07779009758043', '0.115013811802087', '-0.63491840459947', '-1.31277024430485', '-0.404969751398822', '-0.788956092859743', '-0.339768451971539', '-0.396379380314539', '0.0524334176868829', '-0.514011093480874', '-0.897720740515512', '-0.830108835523228', '-0.386671909974932', '0.88397811960774', '-0.959736751762749', '-0.080108556103594', '1.04040085854474', '-0.422874542566574', '0.263073945883475', '0.454901617170509', '-0.900291340623314', '-0.761806653767736', '-0.70188398318417', '1.73898479489682', '-0.682864390793872', '-0.0598605358461654', '-0.692622664522317', '0.738707518496834', '1.52657639900708', '-0.056768233741335', '0.780511455042402', '-0.248747426246617', '-0.063558972435317', '0.0948122318085483', '-0.398688208605688', '-0.109250971093644', '-0.618802195666143', '0.568003913377033', '-0.306579029795778', '-0.248468358812297', '0.580462400530499', '-0.114595914726268', '-1.51928204467297', '-1.05685149996071', '-3.38137209624103', '-0.0215113223282189', '-0.52289886538888', '0.0529343962305719', '-0.544969269145138', '-1.11032375382088', '-1.0799475308439'
'-0.695044160639471', '0.244060123240449', '-1.32378528583799', '-1.12841213611089', '0.378811370405645', '0.652275506223666', '0.901795338281795', '1.41904849463892', '-1.51585059702008', '1.5304422723896', '0.168538502077402', '0.853424961840891', '-0.854662228802568', '-1.04195889780705', '-0.394567643076473', '0.62383532394703', '-0.0225116104971402', '-0.16396416133493', '-0.166288838949829', '-0.303136991948956', '1.2370791962106', '-1.6319137056622', '-0.950729420672021', '-0.83424283758304', '-0.163797054716028', '-0.0570852309242148', '2.09852858853791', '0.226470043200357', '-0.0368483272174509', '-0.334507686794162', '-0.955059063844566', '-1.11103868654027', '0.345995503824827', '-0.979459817648844', '-0.727739800121361', '0.138767605825201', '0.934642538102529', '0.44780158296055', '-0.381353006458579', '-0.22079472518021', '0.435092146312266', '0.0681559265632092', '2.04544329473657', '0.178516454599466', '-0.133645266804942', '-2.02844583763172', '0.600430200653113', '-1.36173823668375', '2.38208274927616', '-0.645569753900592', '0.13272618710355', '3.14661018862128', '1.20190499430949', '-0.395280888294581', '-0.352658439485261', '1.40605825036266', '-0.26428357288625', '1.17843272385147', '0.964031845073986', '-1.01816498858048', '0.810956909692744'
'-0.695044160639471', '-0.392239483779292', '1.49586366509571', '0.0168506446690092', '-0.0162347730173843', '-1.51209321897304', '-0.743981154082481', '-0.695044160639471', '1.62562146915893', '-1.01158926081724', '-0.253614024406147', '-1.06097431603749', '-1.02369593972803', '0.51249823109033', '1.59223504649206', '-0.63865913362498', '-0.194001795077896', '-0.745002208783953', '-0.166288838949829', '-0.347867861970878', '0.66779921308364', '0.511372389516981', '2.27245635473992', '1.42185598446746', '-0.887378597485774', '-0.19522518200049', '-0.132119058474711', '-1.04624534490283', '-0.992850572726654', '-0.202939469466717', '-0.462149554853301', '0.0913804642715033', '-1.07949821273696', '1.00920100629396', '0.685835593694551', '-1.01327561586873', '0.973386947688835', '2.15167920538736', '0.11498185081053', '-0.418591376621206', '-0.0872492473772077', '0.0681559265632092', '-0.221734142473208', '0.115738287506278', '-0.632178419239678', '1.0422659488292', '0.634297767217537', '-0.0696500144691383', '-0.637928192709574', '-0.207590274023796', '-0.0911419196099242', '0.601391260937854', '-0.827454831372345', '-0.615804425516624', '-1.16808134707335', '-1.2825311115385', '-0.00566828038361939', '-1.42897173513694', '-1.02510598730577', '-0.879926840719898', '-0.996830852138992'
'1.41904849463892', '-0.392239483779292', '0.929351483196613', '0.144102064755664', '-0.332271687755808', '0.652275506223666', '-1.56686940026462', '-0.695044160639471', '3.40074917856846', '-0.884487684156902', '2.63650711844277', '-1.03362575492494', '0.48070408750857', '-0.0128757811154049', '1.08253173869699', '-1.05949061948232', '1.72668827222657', '-0.512586989804344', '-0.822455608859965', '0.725673018555254', '1.47427918918017', '2.13040145422068', '-1.11188870944262', '0.644921290781197', '1.15673926083876', '1.73873413306737', '-0.325155874081573', '-0.0332677911064153', '-0.458614023765629', '-0.860780556103942', '0.0307599541379631', '-0.554035697561289', '0.315314347673662', '0.826755059143244', '-0.765135974560936', '0.93328017251067', '1.28334222437928', '1.21662441259216', '0.145338722814757', '-0.437888610908132', '0.96585840119028', '-2.37199989007245', '-1.17078516270056', '2.62686497123382', '2.94590129507039', '1.0422659488292', '4.779687914703', '1.32312040687908', '-0.429651576020902', '-0.984273885005315', '1.25206672067092', '-0.0730224658167386', '-0.642967574492178', '-0.395280888294581', '-1.86701526786315', '-0.259439584443366', '-1.5573600353994', '0.803266614644502', '1.64994144244632', '-0.718649001549214', '0.187581819405938'
'1.41904849463892', '1.24395950570004', '-0.353774398882548', '0.610690605073401', '0.141783684351827', '0.652275506223666', '0.078907092099657', '-0.695044160639471', '-0.149506240250602', '0.259426505786178', '-0.0993659858833119', '1.86532172300518', '-0.482788064766555', '-0.234941085243602', '-0.748239326036317', '-0.548480958084122', '-0.627014511144305', '-0.454483185059442', '-0.166288838949829', '0.425337176979491', '-0.755400744733771', '-0.567980320285486', '-0.870149776286723', '-0.415893387136589', '-0.652214596085607', '-0.701738335946835', '-0.203614175366141', '0.48620787750713', '-1.17092942238033', '0.191765182515619', '-0.243078661968295', '0.259365492693737', '-0.076460415487359', '0.279417217691096', '-0.136880243976086', '-1.07286405837014', '-0.38266738783187', '0.738707518496834', '0.160517158816871', '-0.466834462338522', '0.856335205739261', '-0.248747426246617', '1.14911733118852', '-0.334171909994907', '-0.745768251439997', '-1.51666053988823', '-0.713631382046529', '-1.73090630017364', '1.69098306662739', '1.81295505980782', '-0.538878133036873', '1.95945725864916', '-0.104879741925026', '-1.38763680579378', '0.113297507707934', '1.40605825036266', '1.0287928896269', '0.428100505437537', '0.621077046387821', '0.110779885614306', '-0.228001574118599'
'-0.695044160639471', '0.698559842540263', '-1.58686644153472', '0.101684924726779', '0.141783684351827', '0.652275506223666', '0.901795338281795', '1.41904849463892', '-0.787880243003556', '-0.121878224194849', '1.27262972518822', '-0.0217289937606549', '0.0581198101949184', '-0.814477366748897', '-0.238536018241248', '-0.00741190483897475', '-0.0653841566423292', '0.300866276624289', '-0.385011095586541', '-0.737665443590485', '-0.660520747545944', '0.125889278873243', '-0.547831198745529', '1.28738651825253', '-0.218065670423759', '-0.0570852309242148', '0.968905741653314', '0.096601126046971', '-0.261790032043146', '0.191765182515619', '0.414134016686724', '0.0118086087030768', '0.183149367330185', '1.19164695344468', '-0.637988981466383', '0.337395747496569', '-0.150200930314035', '0.530917564542346', '2.01228635107471', '1.91637397209689', '-0.0535498026230481', '-0.248747426246617', '1.20184238786781', '0.387777011576761', '0.503719902763517', '-0.578387494025173', '-0.368182203089407', '1.7258492034135', '-0.439118694961296', '-0.879158809834883', '-0.359783647666094', '-0.728959104167096', '0.371712338348737', '-0.395280888294581', '-0.818614386678457', '-0.0215113223282189', '-1.29874474289677', '0.428100505437537', '1.16980472428568', '0.410295872645577', '-0.248780743794826'
'1.41904849463892', '1.69845922499986', '-0.505489911983731', '0.0168506446690092', '0.457820599090251', '0.652275506223666', '0.078907092099657', '1.41904849463892', '-1.40385515794062', '2.420153309012', '0.39585140095316', '2.41229294525614', '-0.110913900730542', '1.84489005585951', '-0.97708570912798', '2.81817092877457', '-0.835375085409923', '-0.222067966079832', '1.58348921414387', '-0.584302460658181', '3.03979914277932', '-0.999721404206472', '-0.225512621204335', '-1.02847651100461', '-0.27233428613149', '-0.126155206462352', '0.883111601383597', '-0.682612376873347', '-0.749163725832151', '-0.729212338776497', '-0.571685001295804', '-0.275534203071797', '-0.831688874592942', '-0.979459817648844', '0.237081500419658', '-0.258488677517533', '-0.0339677015551177', '0.0530006704470215', '-0.395013598860481', '-0.466834462338522', '-0.643290085820841', '-2.02340620198164', '0.516416651036951', '0.555185457158598', '0.396440616796549', '0.189290452590057', '0.207566428505797', '-2.23431729584167', '-2.02959467694752', '-0.336064254787657', '-0.762746239750348', '-1.20936340267722', '-0.888950583665733', '-0.836327962738667', '0.57925345490113', '0.930201726132369', '0.770177597124272', '0.803266614644502', '0.0723493684899579', '3.42849543426838', '0.395373516168207'
'-0.695044160639471', '0.971259674120152', '-0.511945891264634', '-1.085994996082', '-0.88533628854805', '-1.51209321897304', '-0.743981154082481', '-0.695044160639471', '-0.239102591514174', '-0.503182954175876', '-0.521518512366862', '0.38849942292757', '-0.110913900730542', '1.3790945398833', '-0.363361318109428', '0.0226474870079779', '-0.331193942742501', '0.010347252899777', '-0.385011095586541', '0.418947052690645', '-1.04004073629725', '-0.398367751602241', '-1.03130906505732', '-0.998594407401288', '-1.14063213745519', '-1.09313486399628', '-0.932864367658729', '0.096601126046971', '-0.899124862382614', '1.11274270380773', '-0.188310938747043', '-1.17292790753794', '-0.94025296558937', '-1.0706827912242', '-0.540758927923489', '-0.457116819188899', '-0.692622664522317', '-0.258684260484712', '-0.390460068059847', '-0.452361536623327', '-0.592740918689602', '-0.248747426246617', '0.516416651036951', '-0.480654299879013', '-0.752078797673349', '0.359885551837886', '-0.537520035911526', '-0.791205774926648', '-1.10181702078889', '0.645009780136366', '-1.03138796780652', '-0.876775811400979', '-2.30335288641368', '-0.0644955824615155', '0.57925345490113', '0.692273464017222', '2.32186935214006', '-0.322231712976393', '0.483895126913355', '-0.14265671879677', '-0.955272512786539'
'-0.695044160639471', '0.153160179380486', '-0.989688358051339', '-1.25566355619754', '-1.12236397460187', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '-0.143906468296629', '-0.884487684156902', '0.728702431449805', '0.607287911827956', '0.421542288684659', '0.00878912660441918', '-0.800249867648058', '-0.668718525471933', '-0.776210971729563', '-0.105860356590028', '-0.603733352223253', '0.13778158398142', '-0.186120761606807', '-0.336690453899243', '-0.0643533324337383', '0.0921023741198154', '-0.489408748962414', '-0.517551734511801', '-0.310856850703287', '0.096601126046971', '-0.168064321699106', '1.11274270380773', '-0.188310938747043', '-0.0810252227934207', '-0.463515000778971', '0.0969712705403802', '-0.368736525501447', '0.138767605825201', '-0.847600302867541', '-0.871664624650454', '-0.751706844910147', '-0.283510736612721', '-0.424243694918804', '1.65267269061234', '-0.748984709266179', '-1.02473174801998', '-0.663731150406433', '1.0422659488292', '0.363357234702146', '-0.0696500144691383', '-2.16213434211303', '-0.0148793028780061', '0.356594293817025', '-1.19088631427298', '-0.735211202932261', '0.156027954760528', '-0.585636413081859', '-0.259439584443366', '0.252947012119011', '-0.584847989421268', '0.621077046387821', '-0.465212397138138', '-0.331897422499733'
'-0.695044160639471', '-0.301339539919329', '-0.158481025635279', '0.653107745102286', '0.852866742513281', '0.652275506223666', '0.901795338281795', '1.41904849463892', '0.516866622272219', '-0.376081377515533', '-1.19533889117714', '-0.322563165998686', '-0.35601278157246', '-0.635741878060348', '-0.321752884820035', '-0.127649472226785', '-0.378353743502209', '-0.338275575569637', '1.14604470087044', '-0.194504879038573', '-0.0912407644189793', '-0.799270186671729', '-0.0643533324337383', '-0.864124941186358', '-0.435140133254683', '-0.908948262561249', '-1.30463897549417', '-0.55274345971996', '-0.852262007210595', '1.63901557311752', '-0.462149554853301', '-0.982839585902254', '-0.93553278771996', '-0.450366570911767', '-0.795052914112595', '-0.258488677517533', '-0.0339677015551177', '0.240011629006061', '-0.282693172444841', '-0.466834462338522', '-0.0451249414345082', '1.01886598499269', '-0.3799093125111', '-0.491117327727878', '-0.922463545973828', '-1.00487524214475', '-1.38420920002212', '-0.321355512303153', '0.886277956693886', '0.755964581705155', '-1.1075031240891', '0.0147437041033796', '-0.489228193758706', '0.597075029204615', '-0.935103373476756', '-0.0215113223282189', '-1.04012945039414', '-0.547331378500572', '0.00375840875272499', '-0.257855175347258', '-0.872155834081631'
